frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
13,153.03,281.88,0.76,0.0,0.0,0.32,151.65,276.01,0.8,0.0,0.0,0.19,137.19,273.37,0.86,104.85,282.95,0.89,105.15,287.84,0.98,77.86,329.08,0.68,72.06,339.68,0.97,73.3,375.32,0.65,71.31,382.01,0.93,19.78,307.35,0.93,19.05,307.32,0.97,53.89,365.34,0.85,55.31,368.67,0.94,21.48,416.71,0.71,15.08,423.89,0.81
14,153.72,281.55,0.74,0.0,0.0,0.3,152.03,275.7,0.79,0.0,0.0,0.18,137.83,272.95,0.85,103.99,280.92,0.88,106.65,285.53,0.98,76.13,327.66,0.65,76.32,336.53,0.96,73.69,377.72,0.62,74.79,381.81,0.92,12.87,304.98,0.91,13.2,304.6,0.96,50.46,361.53,0.82,52.8,363.86,0.92,21.2,417.35,0.66,13.82,422.88,0.77
15,154.89,281.06,0.79,0.0,0.0,0.36,152.92,274.89,0.83,0.0,0.0,0.21,138.27,271.54,0.87,104.6,281.0,0.89,107.42,284.19,0.98,76.68,328.65,0.67,78.27,335.05,0.96,76.38,377.42,0.64,76.68,379.9,0.92,10.24,305.26,0.92,10.59,304.41,0.96,51.67,360.62,0.83,54.62,362.34,0.93,22.33,417.78,0.68,16.31,423.29,0.78
16,155.64,279.85,0.88,159.31,271.92,0.56,152.94,272.8,0.91,0.0,0.0,0.3,137.42,267.41,0.9,104.43,280.27,0.92,109.83,280.64,0.98,76.14,326.84,0.66,86.44,330.11,0.95,79.53,379.13,0.62,82.74,383.58,0.9,4.33,308.16,0.89,6.15,305.95,0.95,50.7,361.29,0.79,54.93,361.11,0.89,19.63,418.56,0.62,16.57,423.02,0.73
17,157.14,280.29,0.86,160.36,272.03,0.5,154.73,273.08,0.89,0.0,0.0,0.28,139.52,267.07,0.9,101.63,278.46,0.89,112.75,279.32,0.98,72.06,325.37,0.61,90.02,328.69,0.94,79.21,380.53,0.56,87.16,386.09,0.88,1.88,308.93,0.86,7.17,306.98,0.93,51.18,357.21,0.76,56.62,357.13,0.88,21.5,418.47,0.61,17.23,422.89,0.72
18,158.89,279.5,0.87,162.33,271.28,0.53,156.65,271.95,0.91,0.0,0.0,0.28,140.66,265.46,0.9,100.99,278.51,0.89,113.36,278.45,0.98,74.05,325.7,0.58,93.13,327.76,0.93,81.62,379.81,0.53,89.14,383.97,0.85,0.0,310.3,0.83,5.14,307.96,0.91,49.78,357.76,0.71,55.92,357.32,0.85,21.83,419.93,0.56,18.51,424.11,0.67
19,161.46,279.59,0.8,0.0,0.0,0.39,159.73,272.38,0.86,0.0,0.0,0.22,143.93,266.12,0.89,98.63,275.32,0.86,115.91,278.38,0.97,69.5,320.61,0.55,94.62,326.05,0.93,79.94,376.06,0.52,93.96,382.83,0.86,0.0,314.52,0.84,8.24,313.67,0.92,48.22,357.75,0.72,57.4,359.87,0.86,21.57,420.06,0.57,19.65,426.84,0.69
20,162.64,278.41,0.84,0.0,0.0,0.44,160.73,271.75,0.88,0.0,0.0,0.26,144.94,264.91,0.9,103.59,272.66,0.91,119.64,277.97,0.98,76.45,318.64,0.67,101.81,328.66,0.96,84.23,370.54,0.62,99.89,380.28,0.9,10.86,308.09,0.91,19.33,307.91,0.96,42.43,370.77,0.82,50.34,375.24,0.91,19.93,421.36,0.65,17.49,430.82,0.75
21,163.31,278.25,0.84,0.0,0.0,0.45,161.37,271.89,0.88,0.0,0.0,0.27,146.22,265.18,0.91,106.41,270.83,0.91,121.44,279.51,0.98,77.88,313.19,0.67,105.55,331.84,0.96,78.96,363.59,0.61,101.32,380.12,0.9,15.34,308.36,0.92,22.96,309.16,0.96,43.38,372.24,0.82,49.13,377.2,0.92,19.62,421.61,0.66,15.51,430.63,0.76
22,164.33,277.69,0.85,0.0,0.0,0.47,161.84,271.3,0.89,0.0,0.0,0.26,145.72,265.68,0.9,110.18,274.12,0.91,119.96,279.95,0.98,89.47,321.17,0.66,105.11,333.21,0.96,95.94,370.24,0.62,104.93,377.48,0.9,15.02,305.68,0.91,19.5,305.46,0.96,44.72,372.0,0.81,49.01,376.13,0.91,20.9,424.1,0.64,14.01,431.92,0.74
23,167.53,276.62,0.88,169.35,270.22,0.59,166.14,270.06,0.9,0.0,0.0,0.32,154.75,261.99,0.91,118.88,272.15,0.92,124.6,276.12,0.99,101.86,316.76,0.67,107.21,329.11,0.96,101.49,364.43,0.64,110.17,376.94,0.91,27.45,312.84,0.91,30.66,312.96,0.96,47.99,367.24,0.82,53.52,372.28,0.91,15.52,420.62,0.65,10.99,430.54,0.76
24,169.63,274.53,0.89,172.42,268.7,0.65,167.92,267.34,0.9,0.0,0.0,0.36,155.9,259.44,0.89,124.26,275.61,0.93,124.84,273.84,0.98,112.9,320.97,0.7,104.78,322.28,0.94,115.04,369.9,0.66,101.15,367.79,0.89,29.08,317.36,0.9,29.75,315.06,0.94,50.86,368.39,0.8,55.89,371.25,0.89,13.65,420.32,0.62,11.99,428.66,0.72
25,172.55,273.41,0.89,174.27,266.88,0.6,170.29,267.15,0.91,0.0,0.0,0.32,157.47,260.92,0.92,117.31,265.69,0.91,129.67,278.62,0.99,82.43,298.98,0.64,119.09,333.31,0.96,66.43,334.08,0.62,124.9,379.87,0.91,28.29,315.59,0.9,34.0,319.09,0.96,53.39,365.62,0.81,59.61,372.45,0.91,15.34,415.91,0.65,11.86,427.09,0.77
26,174.35,273.07,0.87,175.42,266.28,0.52,171.93,267.08,0.9,0.0,0.0,0.28,158.65,260.92,0.92,115.13,262.34,0.9,131.24,276.4,0.99,78.1,292.44,0.62,119.57,327.29,0.96,68.75,325.84,0.61,128.39,369.73,0.92,26.44,311.71,0.91,34.37,315.83,0.96,54.17,364.16,0.82,62.38,371.58,0.92,15.92,415.56,0.66,11.6,427.17,0.78
27,179.48,271.21,0.85,0.0,0.0,0.44,175.26,265.01,0.88,0.0,0.0,0.24,157.21,263.79,0.9,126.04,274.91,0.92,136.34,279.46,0.98,103.66,311.84,0.69,128.01,326.54,0.96,105.18,350.72,0.63,135.97,369.36,0.91,31.98,306.37,0.94,34.97,304.96,0.97,58.8,366.47,0.89,64.2,372.47,0.95,18.38,411.16,0.79,13.39,424.53,0.86
28,179.43,270.32,0.89,181.95,264.79,0.65,176.64,263.71,0.9,0.0,0.0,0.34,164.0,258.5,0.9,137.79,276.71,0.93,132.92,272.03,0.99,131.04,319.02,0.71,103.49,310.8,0.95,136.12,361.56,0.66,83.85,341.43,0.9,41.87,317.53,0.94,39.46,313.59,0.97,57.22,370.18,0.89,58.5,371.89,0.94,16.87,418.0,0.77,10.67,425.49,0.85
29,181.54,269.71,0.9,184.04,264.46,0.65,178.93,263.07,0.9,0.0,0.0,0.31,166.23,257.44,0.88,142.82,278.28,0.93,131.4,266.56,0.99,137.14,319.26,0.74,77.19,290.11,0.96,141.13,357.31,0.7,33.3,308.63,0.92,46.71,319.37,0.95,41.36,312.84,0.97,61.59,372.04,0.91,61.49,372.79,0.95,20.45,419.03,0.8,11.42,427.09,0.87
30,184.0,267.39,0.89,186.53,262.01,0.64,181.04,260.77,0.9,0.0,0.0,0.31,168.19,256.68,0.89,142.88,278.0,0.93,134.57,267.62,0.99,134.45,317.26,0.71,83.34,292.29,0.96,141.99,350.76,0.67,42.03,309.46,0.91,47.46,320.23,0.94,43.54,314.25,0.97,63.89,372.99,0.9,63.34,373.3,0.95,23.85,419.73,0.79,12.25,426.76,0.87
31,187.76,269.17,0.88,189.57,263.21,0.6,185.12,262.79,0.89,0.0,0.0,0.29,172.68,257.65,0.9,143.66,272.64,0.92,138.59,269.27,0.99,132.06,309.19,0.68,88.96,299.71,0.96,140.32,341.94,0.64,49.48,315.69,0.91,49.88,316.64,0.94,47.67,313.6,0.97,68.88,372.03,0.9,67.83,374.84,0.96,30.77,415.12,0.8,16.82,423.76,0.88
32,189.26,271.16,0.88,191.11,265.64,0.6,186.82,264.52,0.89,0.0,0.0,0.28,173.62,258.44,0.88,148.0,276.11,0.92,135.87,266.07,0.99,142.19,313.21,0.71,70.93,287.49,0.96,160.54,349.11,0.68,24.64,305.01,0.92,53.33,317.39,0.95,47.95,312.09,0.97,73.34,369.97,0.91,73.65,371.19,0.96,31.76,414.26,0.81,19.6,421.86,0.88
