frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
13,1225.77,40.81,0.91,0.0,0.0,0.43,1209.58,27.62,0.87,0.0,0.0,0.21,1171.69,37.14,0.91,1167.67,142.79,0.98,1130.32,108.39,1.0,1148.3,242.62,0.92,1045.04,190.47,0.99,1228.99,237.49,0.87,1114.81,285.79,0.98,1112.43,374.07,1.0,1121.14,363.29,1.0,1020.49,512.26,0.99,1251.06,504.57,1.0,845.02,673.14,0.96,1220.71,671.83,0.98
14,1229.88,36.15,0.79,0.0,0.0,0.13,1215.98,25.46,0.82,0.0,0.0,0.08,1172.37,30.17,0.93,1152.81,118.36,0.97,1136.12,103.88,1.0,1145.66,223.19,0.83,1059.38,195.82,1.0,1226.75,242.47,0.77,1147.12,288.57,0.99,1115.37,353.59,1.0,1141.63,358.77,1.0,994.96,489.29,1.0,1259.35,543.33,1.0,799.45,595.4,0.99,1255.12,695.5,1.0
15,1228.55,40.66,0.62,0.0,0.0,0.08,1217.51,30.84,0.72,0.0,0.0,0.06,1175.84,38.5,0.91,1148.35,118.0,0.93,1140.31,116.8,1.0,1136.25,230.88,0.67,1079.62,217.95,1.0,1205.04,288.27,0.59,1166.74,304.02,0.98,1116.5,347.71,1.0,1139.87,358.19,1.0,1026.45,499.64,1.0,1243.72,560.99,1.0,853.0,578.18,0.99,1239.42,688.26,1.0
16,1234.98,64.74,0.73,0.0,0.0,0.16,1222.97,51.47,0.82,0.0,0.0,0.09,1181.56,60.16,0.93,1146.59,145.82,0.88,1157.64,150.34,1.0,0.0,0.0,0.47,1111.53,264.22,0.99,0.0,0.0,0.44,1203.59,341.79,0.97,1128.16,388.15,0.99,1147.39,399.91,1.0,1093.3,539.08,0.98,1248.86,592.21,1.0,926.21,575.36,0.97,1178.23,658.6,0.99
17,1230.89,78.9,0.84,0.0,0.0,0.26,1223.52,63.89,0.9,0.0,0.0,0.16,1182.97,70.36,0.96,1136.49,156.9,0.95,1152.0,164.85,1.0,1130.76,288.99,0.67,1129.74,283.8,1.0,1223.1,335.41,0.66,1232.59,333.27,0.98,1115.02,383.93,1.0,1127.44,396.62,1.0,1128.98,539.65,0.99,1180.31,597.02,1.0,1026.04,617.18,0.99,1101.17,720.65,0.99
18,1229.15,86.41,0.87,0.0,0.0,0.34,1219.97,68.9,0.89,0.0,0.0,0.24,1179.75,74.32,0.95,1120.74,152.97,0.96,1160.16,165.58,1.0,1054.78,278.19,0.78,1167.26,277.81,0.99,1101.56,329.96,0.77,1260.66,292.43,0.97,1103.43,384.86,0.99,1123.53,391.06,1.0,1142.73,558.58,0.98,1161.29,571.18,1.0,1025.56,705.42,0.95,1029.68,728.81,0.97
19,1229.91,74.55,0.87,0.0,0.0,0.31,1222.7,58.25,0.9,0.0,0.0,0.18,1179.15,65.01,0.94,1108.25,129.36,0.96,1171.15,152.98,1.0,1048.05,252.06,0.83,1179.25,258.5,1.0,1071.65,337.0,0.79,1273.3,267.38,0.98,1118.62,359.2,1.0,1130.55,378.72,1.0,1224.43,486.89,1.0,1117.78,562.0,1.0,1138.81,596.19,0.98,926.43,718.24,0.99
20,1230.53,66.96,0.88,0.0,0.0,0.38,1223.62,50.14,0.88,0.0,0.0,0.21,1182.54,58.86,0.91,1127.63,132.62,0.96,1160.12,146.0,1.0,1036.0,244.21,0.9,1195.98,231.46,1.0,1056.3,308.26,0.88,1300.47,225.56,0.99,1144.75,355.61,1.0,1132.68,369.39,1.0,1249.59,482.64,0.99,1085.84,527.17,1.0,1190.74,622.69,0.97,907.98,700.39,0.98
21,1236.78,71.36,0.93,0.0,0.0,0.49,1224.7,54.63,0.92,0.0,0.0,0.32,1182.89,66.3,0.95,1116.42,133.5,0.99,1183.77,151.01,1.0,1032.15,251.23,0.95,1221.88,232.22,1.0,1063.05,326.4,0.91,1279.81,243.79,0.98,1137.42,368.21,1.0,1143.96,378.99,1.0,1259.27,503.89,1.0,1068.32,526.74,1.0,1265.52,635.59,0.98,878.57,662.19,0.99
22,1244.14,80.45,0.93,1226.91,54.92,0.52,1226.81,62.48,0.91,0.0,0.0,0.4,1184.83,75.08,0.97,1107.43,141.82,0.99,1201.79,151.68,1.0,1029.4,269.26,0.97,1236.52,232.71,0.99,1087.34,334.31,0.91,1281.36,262.42,0.97,1129.07,374.1,1.0,1155.88,375.81,1.0,1243.14,548.22,1.0,1066.65,528.11,1.0,1284.18,665.99,0.98,867.09,606.62,0.98
