frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
13,356.84,677.75,0.97,369.94,668.58,0.91,347.3,666.2,0.95,388.98,657.59,0.62,330.04,652.73,0.81,400.27,678.24,0.98,296.09,690.69,0.99,410.39,695.34,0.91,284.65,768.68,0.97,390.66,677.35,0.86,333.04,775.44,0.93,353.97,809.84,0.99,279.19,810.77,0.99,375.53,914.15,0.99,255.83,909.13,0.99,347.75,1025.62,0.97,232.49,1025.54,0.98
14,377.16,672.13,0.97,386.07,661.16,0.85,365.85,661.05,0.96,0.0,0.0,0.44,343.31,649.94,0.9,410.84,678.85,0.98,295.97,690.28,1.0,406.65,717.6,0.88,267.02,777.6,0.99,384.0,746.6,0.84,328.99,814.4,0.97,357.63,813.38,0.99,278.0,814.57,1.0,375.02,914.52,0.98,259.1,904.86,0.99,337.77,1029.54,0.96,229.34,1015.84,0.98
15,396.4,664.08,0.97,404.84,654.14,0.84,384.46,651.69,0.97,0.0,0.0,0.4,353.11,640.26,0.91,413.98,679.62,0.98,299.54,678.81,1.0,407.09,727.84,0.91,257.28,762.45,0.99,392.82,772.15,0.88,293.22,830.38,0.98,350.57,802.08,0.99,273.26,798.35,1.0,374.76,914.5,0.99,271.53,896.47,1.0,330.65,1024.4,0.97,237.31,1001.55,0.98
16,405.83,660.53,0.97,416.33,651.82,0.86,395.48,647.1,0.96,0.0,0.0,0.47,366.01,633.32,0.91,422.2,685.34,0.99,316.82,666.2,1.0,402.06,761.96,0.93,259.19,742.02,0.99,392.37,840.65,0.89,248.73,832.43,0.98,355.41,796.14,1.0,284.4,783.17,1.0,363.99,915.39,0.99,268.89,882.12,1.0,326.29,1023.76,0.97,241.13,984.32,0.98
17,407.64,663.8,0.97,418.3,653.39,0.87,396.36,649.32,0.96,429.18,642.76,0.52,365.91,634.0,0.9,422.15,687.71,0.99,320.67,660.88,1.0,405.21,777.4,0.94,254.21,725.93,0.99,402.37,866.78,0.89,209.14,794.37,0.97,343.28,802.55,1.0,275.7,785.62,1.0,361.4,919.82,0.99,276.98,882.4,0.99,326.61,1016.4,0.96,250.14,971.86,0.98
18,407.87,655.5,0.97,419.49,646.15,0.88,397.42,641.23,0.96,430.44,639.23,0.57,368.66,628.48,0.89,420.16,689.49,0.99,321.43,654.1,1.0,410.97,777.17,0.95,240.19,694.99,0.99,415.75,857.21,0.9,190.99,719.73,0.97,334.09,798.82,1.0,272.0,779.77,1.0,357.38,926.47,0.99,298.79,891.34,1.0,317.41,1019.0,0.97,276.71,979.97,0.98
19,403.33,642.9,0.98,414.62,634.82,0.88,393.02,628.39,0.97,0.0,0.0,0.49,364.44,616.03,0.92,418.66,691.69,0.99,318.83,640.3,1.0,426.66,774.31,0.92,230.91,655.53,0.99,440.9,808.6,0.88,167.55,674.92,0.98,330.56,811.72,1.0,270.58,787.05,1.0,354.04,936.76,0.99,306.49,898.55,1.0,300.88,1017.05,0.96,271.41,982.03,0.98
20,394.99,642.79,0.97,403.74,632.82,0.87,382.18,628.75,0.96,0.0,0.0,0.49,355.34,616.39,0.9,418.27,687.5,0.99,317.2,631.25,1.0,432.08,760.94,0.93,221.01,620.45,0.99,439.69,754.42,0.9,165.54,628.19,0.98,329.0,821.58,1.0,267.79,795.43,1.0,359.74,940.09,0.99,315.78,904.34,1.0,297.86,1011.2,0.96,256.73,979.2,0.98
21,380.77,632.69,0.97,391.22,623.6,0.85,369.78,619.89,0.95,0.0,0.0,0.48,345.84,604.27,0.89,407.19,666.84,0.99,311.13,622.82,1.0,435.65,733.84,0.92,219.05,605.95,0.99,432.35,774.9,0.89,168.82,602.38,0.98,333.71,805.19,1.0,281.74,788.09,1.0,343.52,906.09,0.99,342.5,900.71,1.0,253.79,994.24,0.97,302.39,1008.31,0.99
22,374.45,617.48,0.96,383.55,607.5,0.82,362.97,603.91,0.94,0.0,0.0,0.42,337.24,586.86,0.86,404.28,647.08,0.98,294.6,604.77,1.0,433.36,714.61,0.91,197.15,604.63,0.99,428.26,738.83,0.89,161.58,626.1,0.98,334.88,792.3,0.99,273.45,775.39,1.0,345.81,890.9,0.99,328.44,878.65,0.99,268.16,1004.75,0.96,292.05,1005.88,0.98
