frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
12,1911.25,516.04,0.99,1959.77,466.95,0.97,1875.41,481.96,0.92,2050.14,463.37,0.91,1841.62,495.24,0.57,2206.18,645.94,1.0,1772.56,751.84,0.99,2458.05,876.63,0.99,1673.44,975.85,0.95,2492.06,1140.49,0.98,1712.78,771.34,0.93,2173.06,1201.31,1.0,1918.19,1254.48,1.0,2116.81,1562.56,0.99,1927.29,1658.13,0.98,2090.18,1907.16,0.91,2087.41,1992.98,0.88
13,1910.26,483.68,0.99,1956.38,434.28,0.97,1873.75,446.7,0.92,2046.97,429.04,0.92,1839.49,457.22,0.58,2211.52,622.65,1.0,1767.19,717.65,0.99,2472.63,858.27,0.99,1687.83,959.15,0.95,2496.89,1120.11,0.98,1726.81,752.42,0.93,2174.29,1174.92,1.0,1917.49,1214.36,1.0,2120.33,1539.29,0.99,1921.58,1594.82,0.98,2073.9,1923.78,0.92,2064.72,1955.44,0.9
14,1906.65,447.33,0.99,1951.27,395.73,0.97,1868.65,411.38,0.93,2039.95,384.58,0.91,1833.2,420.39,0.61,2204.52,577.57,1.0,1765.84,682.58,0.99,2472.14,817.59,0.99,1690.58,933.57,0.96,2494.25,1069.76,0.98,1725.76,733.14,0.94,2168.03,1138.87,1.0,1915.6,1184.4,1.0,2110.35,1522.75,0.99,1927.47,1594.97,0.99,2075.31,1935.24,0.94,2071.44,1991.28,0.92
15,1901.63,406.08,0.99,1944.08,355.74,0.97,1863.85,371.2,0.93,2031.33,344.18,0.91,1830.24,381.51,0.61,2202.26,533.17,1.0,1761.23,637.74,0.99,2464.42,777.1,0.99,1687.55,899.7,0.96,2489.47,1027.16,0.98,1728.56,717.79,0.95,2158.41,1096.53,1.0,1901.02,1139.54,1.0,2123.4,1503.01,0.99,1920.25,1560.45,0.99,2089.26,1935.32,0.95,2047.34,1967.82,0.94
16,1889.59,366.96,0.99,1932.3,316.0,0.98,1852.95,331.1,0.91,2025.48,300.13,0.93,1824.27,338.73,0.52,2199.28,491.43,1.0,1763.26,591.11,0.99,2454.23,739.56,0.99,1693.53,855.81,0.95,2488.24,998.44,0.99,1714.66,725.7,0.93,2144.47,1067.27,1.0,1885.95,1105.49,1.0,2131.29,1486.51,1.0,1903.72,1531.69,0.99,2119.63,1928.61,0.97,2013.51,1945.73,0.95
17,1881.54,324.66,0.98,1927.2,277.94,0.98,1843.74,288.97,0.9,2022.44,263.11,0.94,0.0,0.0,0.44,2188.59,453.12,1.0,1763.82,529.32,0.99,2445.2,707.69,1.0,1693.07,791.23,0.94,2484.27,978.24,0.99,1676.3,809.93,0.92,2132.65,1032.56,1.0,1876.26,1059.72,1.0,2127.05,1484.46,1.0,1902.53,1518.63,0.99,2134.97,1906.68,0.97,2001.18,1921.67,0.96
18,1880.71,291.02,0.98,1925.65,245.35,0.98,1844.12,255.46,0.9,2015.12,230.25,0.94,0.0,0.0,0.46,2187.39,414.98,1.0,1744.29,507.51,0.99,2433.9,691.44,1.0,1679.57,795.75,0.94,2471.19,971.69,0.99,1700.77,709.37,0.93,2135.33,1020.62,1.0,1866.47,1056.95,1.0,2140.39,1481.35,1.0,1898.49,1520.84,0.99,2129.36,1904.35,0.98,2008.13,1911.98,0.96
19,1869.48,265.52,0.99,1916.1,220.68,0.98,1829.9,228.42,0.92,2011.98,199.37,0.92,1792.32,221.75,0.51,2182.88,390.07,1.0,1746.58,436.82,0.99,2423.61,656.82,0.99,1685.44,693.24,0.95,2444.88,964.94,0.99,1677.31,845.56,0.94,2135.45,1001.28,1.0,1868.31,1013.04,1.0,2132.7,1474.27,1.0,1886.42,1472.05,1.0,2150.27,1888.29,0.98,1989.39,1863.93,0.97
20,1864.41,245.3,0.98,1909.11,201.02,0.98,1825.16,208.31,0.91,2002.23,175.4,0.93,0.0,0.0,0.5,2182.15,367.1,1.0,1738.07,412.06,0.99,2412.3,650.94,0.99,1673.98,701.47,0.95,2389.42,947.42,0.99,1673.33,927.44,0.93,2143.89,983.99,1.0,1870.96,993.27,1.0,2136.53,1461.67,1.0,1876.4,1453.35,0.99,2161.7,1847.09,0.98,1979.19,1817.97,0.97
21,1865.32,225.61,0.99,1910.32,183.41,0.97,1826.05,188.31,0.92,1997.93,164.75,0.92,1781.52,181.32,0.52,2168.82,355.4,1.0,1733.51,399.84,0.99,2391.88,642.19,0.99,1671.95,700.57,0.96,2345.09,953.84,0.99,1659.82,970.16,0.94,2148.41,954.71,1.0,1877.86,964.44,1.0,2139.73,1431.37,1.0,1869.47,1427.0,0.99,2167.04,1822.78,0.98,1967.07,1802.79,0.97
22,1855.98,212.7,0.99,1902.02,170.91,0.98,1817.76,174.27,0.91,1993.28,153.9,0.93,0.0,0.0,0.5,2167.54,347.1,1.0,1731.66,387.77,0.99,2378.76,643.88,0.99,1667.34,708.93,0.96,2290.7,931.21,0.99,1652.25,1011.46,0.95,2155.66,941.66,1.0,1882.3,947.02,1.0,2141.31,1426.82,1.0,1861.94,1412.02,1.0,2170.9,1830.38,0.98,1960.66,1800.28,0.97
23,1851.93,205.04,0.99,1896.13,162.89,0.98,1814.4,167.19,0.92,1987.13,143.25,0.93,1775.7,159.73,0.5,2164.5,339.86,1.0,1731.7,374.78,0.99,2366.28,642.02,0.99,1656.59,695.89,0.96,2239.88,897.34,0.99,1639.48,1012.17,0.95,2146.69,942.11,1.0,1873.48,944.06,1.0,2139.79,1419.62,1.0,1854.78,1403.12,1.0,2172.07,1830.34,0.98,1942.48,1803.46,0.97
24,1843.59,200.91,0.99,1888.52,159.45,0.98,1807.82,162.79,0.91,1979.82,141.69,0.93,0.0,0.0,0.48,2155.43,340.48,1.0,1730.5,370.74,0.99,2350.12,647.92,0.99,1654.04,690.14,0.96,2191.94,868.37,0.99,1629.07,1001.49,0.95,2148.07,941.72,1.0,1877.24,943.32,1.0,2144.79,1403.93,1.0,1847.99,1400.58,0.99,2178.74,1798.19,0.98,1924.05,1800.5,0.97
25,1840.12,199.16,0.99,1885.76,157.8,0.97,1803.45,160.98,0.92,1975.2,146.27,0.92,1763.56,158.03,0.5,2139.58,350.4,1.0,1727.25,372.72,0.99,2323.44,658.16,0.99,1647.31,684.82,0.96,2143.66,836.13,0.99,1618.1,993.42,0.95,2146.87,942.69,1.0,1879.77,943.92,1.0,2147.55,1393.04,1.0,1843.82,1400.16,0.99,2196.05,1794.16,0.97,1916.96,1818.83,0.96
