frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
20,417.34,899.49,0.89,0.0,0.0,0.46,400.62,877.52,0.9,0.0,0.0,0.15,339.16,896.44,0.88,359.39,1024.51,0.93,260.3,1029.58,0.99,364.71,1161.53,0.81,275.17,1195.71,0.99,426.94,1089.44,0.8,422.5,1127.17,0.98,290.0,1339.51,0.99,204.34,1347.16,1.0,376.22,1560.48,0.97,201.48,1600.57,0.99,233.84,1734.01,0.93,0.0,1817.94,0.97
21,458.84,883.27,0.94,461.84,865.29,0.59,440.14,863.95,0.94,0.0,0.0,0.2,374.78,880.73,0.92,396.62,999.13,0.97,330.95,998.6,1.0,412.93,1141.01,0.86,358.89,1150.42,0.99,481.64,1057.47,0.82,462.67,1077.88,0.98,350.92,1334.77,1.0,275.56,1337.49,1.0,419.14,1560.45,0.98,199.96,1601.78,0.99,343.5,1742.52,0.94,0.0,1823.54,0.97
22,497.18,873.14,0.91,0.0,0.0,0.49,479.21,855.16,0.91,0.0,0.0,0.17,419.8,878.22,0.91,441.76,999.88,0.96,357.68,1001.99,1.0,448.08,1129.95,0.87,365.33,1142.17,1.0,522.95,1035.27,0.85,489.01,1095.04,0.99,384.8,1330.76,1.0,297.48,1338.49,1.0,457.04,1532.49,0.99,220.07,1584.0,1.0,402.35,1724.76,0.96,12.11,1823.84,0.98
23,539.52,861.08,0.89,0.0,0.0,0.41,523.64,843.2,0.9,0.0,0.0,0.13,461.16,866.56,0.91,473.85,985.95,0.95,392.78,989.93,1.0,491.85,1111.87,0.84,414.44,1118.67,1.0,546.34,1048.82,0.82,533.11,1096.56,0.99,432.73,1323.39,1.0,343.63,1330.79,1.0,494.89,1531.21,0.99,230.49,1576.45,1.0,483.6,1736.97,0.95,35.18,1820.75,0.98
24,585.42,850.68,0.91,0.0,0.0,0.44,568.78,832.14,0.92,0.0,0.0,0.14,506.79,859.72,0.92,513.98,971.62,0.96,443.74,986.08,1.0,507.83,1094.91,0.87,486.83,1125.63,1.0,553.4,1048.84,0.81,604.64,1065.16,0.99,464.59,1316.46,1.0,376.85,1320.92,1.0,560.97,1548.34,0.99,249.79,1566.01,1.0,544.99,1762.47,0.98,26.21,1797.0,0.99
25,620.64,852.13,0.92,614.75,824.12,0.53,598.16,832.86,0.92,0.0,0.0,0.19,547.63,861.53,0.9,567.5,965.35,0.95,487.69,989.41,1.0,549.97,1102.84,0.86,512.95,1138.06,0.99,622.31,1060.67,0.82,654.52,1079.24,0.98,503.57,1314.95,0.99,412.51,1322.49,1.0,596.23,1540.47,0.98,293.33,1540.89,0.99,602.27,1761.84,0.95,73.91,1751.49,0.98
26,664.31,848.79,0.93,661.84,821.4,0.57,642.22,827.65,0.93,0.0,0.0,0.31,579.81,854.74,0.93,552.52,959.58,0.98,548.86,975.34,1.0,482.73,1110.2,0.92,550.53,1123.34,0.99,634.22,1067.88,0.87,684.32,1075.64,0.98,523.26,1295.2,1.0,474.4,1299.24,1.0,658.91,1552.22,0.99,351.36,1548.37,1.0,668.0,1735.41,0.95,97.09,1722.87,0.97
27,710.14,854.02,0.9,0.0,0.0,0.42,686.6,831.71,0.91,0.0,0.0,0.2,629.0,856.15,0.94,573.26,945.13,0.96,589.97,984.14,1.0,479.95,1090.61,0.86,611.79,1122.26,1.0,586.58,1105.27,0.83,748.33,1084.97,0.99,551.88,1300.19,0.99,519.9,1313.78,1.0,676.36,1562.25,0.98,407.44,1550.96,1.0,679.61,1749.17,0.95,137.63,1706.44,0.98
28,744.4,853.24,0.92,733.98,821.16,0.51,717.71,831.23,0.93,0.0,0.0,0.26,652.68,857.52,0.96,615.52,959.34,0.98,629.28,983.85,1.0,501.37,1117.13,0.87,654.39,1129.69,1.0,629.23,1114.17,0.8,794.47,1112.94,0.98,595.79,1308.55,1.0,559.63,1314.3,1.0,715.56,1571.71,0.99,454.51,1541.6,1.0,715.94,1724.73,0.96,200.11,1658.21,0.98
29,787.7,855.59,0.91,769.99,820.35,0.51,760.43,832.08,0.9,0.0,0.0,0.3,709.3,858.72,0.94,670.25,965.16,0.98,682.09,979.94,1.0,584.42,1124.87,0.9,673.34,1123.42,0.99,726.22,1130.2,0.84,800.1,1142.3,0.98,639.83,1326.36,1.0,611.17,1324.93,1.0,739.47,1597.46,0.99,522.03,1543.66,1.0,738.33,1753.15,0.98,262.21,1640.95,0.99
